n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
15,89.281,29833,15,2,2,7828,15,114965.55667897928,94386722.03344199,6976170796059.946,4335150.934682856,3559158917.374625,263059252011400.16,695.9487945820046,36189.33731826424,4770496539.962251
15,85.081,29857,15,2,2,10884,15,115011.80024982963,94424688.00511013,6978976880401.994,4335150.934682856,3559158917.374625,263059252011400.16,695.9487945820046,36189.33731826424,4770496539.962251
15,84.136,29981,15,3,3,6505,15,115250.42983432437,94620602.89398031,6993457049824.186,4335150.934682856,3559158917.374625,263059252011400.16,563.6848043032306,29311.609823767994,3863871062.7740088
15,83.608,30083,15,1,1,28489,15,115446.3522400348,94781455.18906857,7005345725045.646,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,79.938,30019,15,1,1,18534,15,115323.45942980191,94680560.19186737,6997888524310.418,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,79.226,29997,15,1,1,17684,15,115281.18477533458,94645852.70054969,6995323275914.049,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,74.335,29919,15,1,1,144,15,115131.17685496065,94522696.19792269,6986220715951.568,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,74.154,29899,15,1,1,5377,15,115092.68179867638,94491091.7567133,6983884815572.3545,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,75.124,30199,15,3,3,13459,15,115668.76272974722,94964054.20112246,7018841711216.545,4335150.934682856,3559158917.374625,263059252011400.16,563.6848043032306,29311.609823767994,3863871062.7740088
15,66.269,29601,15,2,2,1236,15,114517.57295800895,94018927.39852536,6948986906888.078,4335150.934682856,3559158917.374625,263059252011400.16,695.9487945820046,36189.33731826424,4770496539.962251
15,72.28,29827,15,2,2,11468,15,114953.99288015836,94377228.15461001,6975469098630.243,4335150.934682856,3559158917.374625,263059252011400.16,695.9487945820046,36189.33731826424,4770496539.962251
15,73.234,29951,15,2,2,8091,15,115192.74219270013,94573241.3402068,6989956533213.664,4335150.934682856,3559158917.374625,263059252011400.16,695.9487945820046,36189.33731826424,4770496539.962251
15,72.16,30111,15,4,4,2137,15,115500.07673521547,94825562.9996119,7008605755833.468,4335150.934682856,3559158917.374625,263059252011400.16,486.687823275769,25307.76681033999,3336082474.8224225
15,62.467,29845,15,1,1,4171,15,114988.68078858993,94405706.92743233,6977573979263.774,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,72.011,30223,15,2,2,15938,15,115714.72533154226,95001789.4971962,7021630746207.685,4335150.934682856,3559158917.374625,263059252011400.16,695.9487945820046,36189.33731826424,4770496539.962251
15,71.708,30037,15,1,1,11729,15,115358.03626265214,94708947.77163741,6999986664818.915,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,69.933,29927,15,2,2,3269,15,115146.5712747571,94535335.01657557,6987154857488.465,4335150.934682856,3559158917.374625,263059252011400.16,695.9487945820046,36189.33731826424,4770496539.962251
15,68.152,29607,15,1,1,27591,15,114529.18081250042,94028457.44706285,6949691277639.175,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,68.819,30229,15,1,1,15851,15,115726.21313024274,95011220.9799293,7022327831909.876,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,69.997,30103,15,1,1,16640,15,115484.72942925814,94812962.86142093,7007674473189.252,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,69.522,30041,15,1,1,8103,15,115365.71859621858,94715254.96749546,7000452832883.681,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,68.575,29995,15,1,1,6325,15,115277.34085633731,94642696.84305292,6995090024875.861,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,68.923,29933,15,1,1,809,15,115158.11573935268,94544813.02200855,6987855381707.146,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,69.342,29933,15,1,1,27921,15,115158.11573935268,94544813.02200855,6987855381707.146,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,68.614,29775,15,1,1,22769,15,114853.72452992098,94294907.83906512,6969384762095.881,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,68.997,29973,15,1,1,10022,15,115235.04928637802,94607975.46411636,6992523750038.491,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,68.973,30395,15,1,1,14822,15,116043.59133866636,95271788.48904508,7041586509490.093,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,67.693,30011,15,2,2,4911,15,115308.08862107879,94667940.75790568,6996955815505.941,4335150.934682856,3559158917.374625,263059252011400.16,695.9487945820046,36189.33731826424,4770496539.962251
15,68.178,30115,15,1,1,20762,15,115507.74962365808,94831862.44102328,7009071350763.123,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,69.228,29929,15,1,1,19236,15,115150.41955819615,94538494.45727904,6987388373363.289,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
16,120.097,49867,16,1,1,4762,16,153518.96149739638,126806662.1968494,9978905359681.41,6767037.084916981,5589572632.141426,439865030203361.4,1416.3357787609364,73649.4604955687,10355667932.966454
16,120.157,50021,16,1,1,27599,16,153755.86392503112,127002343.60207571,9994304284229.803,6767037.084916981,5589572632.141426,439865030203361.4,1416.3357787609364,73649.4604955687,10355667932.966454
16,120.056,50041,16,4,4,1686,16,153786.60370315198,127027734.65880354,9996302404420.648,6767037.084916981,5589572632.141426,439865030203361.4,671.6633813398583,34926.49582967263,4910927934.034077
16,118.065,49039,16,1,1,16098,16,152238.90793768512,125749337.9565279,9895700436959.871,6767037.084916981,5589572632.141426,439865030203361.4,1416.3357787609364,73649.4604955687,10355667932.966454
16,118.422,49235,16,4,4,20328,16,152542.88603304813,126000423.86329775,9915459355437.8,6767037.084916981,5589572632.141426,439865030203361.4,671.6633813398583,34926.49582967263,4910927934.034077
16,119.875,49979,16,2,2,24067,16,153691.29038138792,126949005.85502642,9990106931183.184,6767037.084916981,5589572632.141426,439865030203361.4,964.288510389305,50143.00254024386,7050483193.965849
