n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
10,0,615,10,1,1,264,10,13457.543725929594,10093157.794447195,6983918279.180437,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,697,10,3,3,325,10,14328.097949050985,10746073.461788239,7435700541.656812,404755.68001296,303566760.00971997,210051748655.8905,124.22161529271375,3478.205228195985,421793.2525102566
10,0,615,10,2,2,59,10,13457.543725929594,10093157.794447195,6983918279.180437,404755.68001296,303566760.00971997,210051748655.8905,150.9692952005997,4227.140265616792,512614.73216068425
10,0,683,10,1,1,576,10,14183.243761019376,10637432.820764532,7360527104.942608,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,671,10,2,2,195,10,14057.897035690356,10543422.776767766,7295477248.587764,404755.68001296,303566760.00971997,210051748655.8905,150.9692952005997,4227.140265616792,512614.73216068425
10,0,581,10,1,1,228,10,13079.629805550432,9809722.354162823,6787796312.925377,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,681,10,2,2,301,10,14162.429557103205,10621822.167827403,7349725378.999363,404755.68001296,303566760.00971997,210051748655.8905,150.9692952005997,4227.140265616792,512614.73216068425
10,0,639,10,2,2,416,10,13718.050181200739,10288537.635900553,7119110542.483819,404755.68001296,303566760.00971997,210051748655.8905,150.9692952005997,4227.140265616792,512614.73216068425
10,0,625,10,2,2,351,10,13566.694975845614,10175021.231884211,7040563341.980055,404755.68001296,303566760.00971997,210051748655.8905,150.9692952005997,4227.140265616792,512614.73216068425
10,0,579,10,2,2,506,10,13057.059546627977,9792794.659970984,6776083265.799945,404755.68001296,303566760.00971997,210051748655.8905,150.9692952005997,4227.140265616792,512614.73216068425
10,0,637,10,3,3,73,10,13696.53023992848,10272397.67994636,7107942567.53393,404755.68001296,303566760.00971997,210051748655.8905,124.22161529271375,3478.205228195985,421793.2525102566
10,0,701,10,2,2,380,10,14369.217080741406,10776912.810556054,7457039699.922628,404755.68001296,303566760.00971997,210051748655.8905,150.9692952005997,4227.140265616792,512614.73216068425
10,0,689,10,5,5,179,10,14245.50419740613,10684128.148054598,7392837741.163198,404755.68001296,303566760.00971997,210051748655.8905,96.39500722500266,2699.0602023000743,327308.28308242426
10,0,673,10,1,1,123,10,14078.865529343206,10559149.147007404,7306359044.634011,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,621,10,1,1,591,10,13523.14001775392,10142355.01331544,7017960088.803963,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,631,10,1,1,213,10,13631.766924792879,10223825.193594659,7074333038.959681,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,623,10,4,4,120,10,13544.93497399508,10158701.23049631,7029270785.346103,404755.68001296,303566760.00971997,210051748655.8905,107.95606685338727,3022.7698718948436,366563.74544000794
10,0,577,10,1,1,327,10,13034.450274282835,9775837.705712127,6764349972.293645,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,661,10,1,1,501,10,13952.582669065694,10464437.00179927,7240823372.285424,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,701,10,1,1,484,10,14369.217080741406,10776912.810556054,7457039699.922628,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,693,10,1,1,129,10,14286.86066275022,10715145.497062664,7414300065.950029,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,649,10,2,2,352,10,13825.148268707297,10368861.201530473,7174690097.433447,404755.68001296,303566760.00971997,210051748655.8905,150.9692952005997,4227.140265616792,512614.73216068425
10,0,641,10,1,1,569,10,13739.536472621663,10304652.354466246,7130261054.528396,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,649,10,2,2,275,10,13825.148268707297,10368861.201530473,7174690097.433447,404755.68001296,303566760.00971997,210051748655.8905,150.9692952005997,4227.140265616792,512614.73216068425
10,0,707,10,2,2,231,10,14430.676443489356,10823007.332617017,7488934611.480312,404755.68001296,303566760.00971997,210051748655.8905,150.9692952005997,4227.140265616792,512614.73216068425
10,0,665,10,1,1,159,10,13994.803362004302,10496102.521503227,7262734196.071601,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,605,10,1,1,329,10,13347.501439993785,10010626.079995338,6926810804.8982525,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,689,10,4,4,16,10,14245.50419740613,10684128.148054598,7392837741.163198,404755.68001296,303566760.00971997,210051748655.8905,107.95606685338727,3022.7698718948436,366563.74544000794
10,0,707,10,1,1,178,10,14430.676443489356,10823007.332617017,7488934611.480312,404755.68001296,303566760.00971997,210051748655.8905,216.67124862880527,6066.794961606548,735705.058006622
10,0,653,10,2,2,112,10,13867.75630151326,10400817.226134945,7196801934.869288,404755.68001296,303566760.00971997,210051748655.8905,150.9692952005997,4227.140265616792,512614.73216068425
13,0,2415,13,2,2,1561,13,30434.37669363094,22856216.896916837,25680172797.941074,1222129.0617312584,917818925.360175,1031218276706.5573,368.26683467442604,10311.47137088393,1258179.9579968296
13,0,2143,13,1,1,145,13,28667.971075820376,21529646.277941104,24189700298.59391,1222129.0617312584,917818925.360175,1031218276706.5573,535.2056336348548,14985.757741775935,1828524.6952571452
13,0,1919,13,3,3,38,13,27127.128727538136,20372473.67438114,22889555460.51829,857806.2980924004,644212529.8673927,723806969465.0576,299.99909677792004,8399.974709781762,1024943.914150796
13,0,2467,13,1,1,1193,13,30760.533060598227,23101160.328509267,25955379743.92796,1222129.0617312584,917818925.360175,1031218276706.5573,535.2056336348548,14985.757741775935,1828524.6952571452
13,0,2209,13,1,1,133,13,29106.42806884906,21858927.479705647,24559665205.672115,1222129.0617312584,917818925.360175,1031218276706.5573,535.2056336348548,14985.757741775935,1828524.6952571452
13,0,2375,13,1,1,247,13,30181.0906671704,22665999.09104497,25466452997.06302,1222129.0617312584,917818925.360175,1031218276706.5573,535.2056336348548,14985.757741775935,1828524.6952571452
13,0,2307,13,1,1,2075,13,29745.55891010861,22338914.741491567,25098956370.043934,1222129.0617312584,917818925.360175,1031218276706.5573,535.2056336348548,14985.757741775935,1828524.6952571452
13,0,2319,13,1,1,515,13,29822.879283290236,22396982.34175097,25164198400.92544,1222129.0617312584,917818925.360175,1031218276706.5573,535.2056336348548,14985.757741775935,1828524.6952571452
