n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
13,1.952,9449,13,2,2,3823,13,60222.61931394242,48178095.451153934,1479554610895.437,2466423.586299508,1973138869.0396063,60595311713481.91,368.26683467442604,18413.341733721303,998498440.8603317
13,1.609,9477,13,1,1,7011,13,60311.81530542237,48249452.2443379,1481745985863.3638,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,1.65,9531,13,1,1,74,13,60483.46482547127,48386771.86037701,1485963086377.0828,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,2.004,9481,13,1,1,3283,13,60324.54682787143,48259637.46229715,1482058775027.266,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,1.819,9519,13,2,2,6315,13,60445.36259621942,48356290.07697554,1485026987455.8271,2466423.586299508,1973138869.0396063,60595311713481.91,368.26683467442604,18413.341733721303,998498440.8603317
13,1.941,9559,13,1,1,3429,13,60572.27685467702,48457821.48374161,1488145028126.068,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,1.626,9565,13,1,1,5700,13,60591.29107396222,48473032.859169774,1488612171138.7183,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,1.917,9471,13,1,1,5924,13,60292.712982898345,48234170.386318676,1481276678322.589,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,1.888,9575,13,1,1,7420,13,60622.96819167608,48498374.55334087,1489390417354.2988,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,1.976,9517,13,1,1,3436,13,60439.009890232046,48351207.91218564,1484870913616.0913,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,1.679,9461,13,1,1,95,13,60260.8623275632,48208689.862050556,1480494168619.4575,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,0.768,9569,13,1,1,8217,13,60603.9639071736,48483171.12573888,1488923518420.265,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,1.503,9491,13,2,2,1620,13,60356.36388907148,48285091.11125718,1482840459386.7302,2466423.586299508,1973138869.0396063,60595311713481.91,368.26683467442604,18413.341733721303,998498440.8603317
13,2.099,9469,13,1,1,667,13,60286.344197512364,48229075.35800989,1481120209442.7732,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,0.792,9503,13,1,1,4803,13,60394.52224526453,48315617.79621162,1483777937239.6167,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,5.927,9451,13,1,1,5241,13,60228.994835207115,48183195.868165694,1479711245262.9138,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,9.606,9587,13,1,1,4563,13,60660.95890607267,48528767.12485814,1490323776568.777,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,10.298,9475,13,1,1,4795,13,60305.44853664047,48244358.82931238,1481589566527.6543,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,9.499,9393,13,1,1,8648,13,60043.829978637594,48035063.982910074,1475162098772.2065,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,7.338,9389,13,1,1,6613,13,60031.03894393653,48024831.15514923,1474847847506.0598,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,8.952,9485,13,1,1,7882,13,60337.275664917615,48269820.53193409,1482371498215.9546,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,6.372,9565,13,1,1,9185,13,60591.29107396222,48473032.859169774,1488612171138.7183,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,7.987,9477,13,1,1,8505,13,60311.81530542237,48249452.2443379,1481745985863.3638,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,5.006,9445,13,1,1,7127,13,60209.866246906735,48167892.99752539,1479241292422.2344,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,7.405,9449,13,1,1,5938,13,60222.61931394242,48178095.451153934,1479554610895.437,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,7.734,9463,13,1,1,8820,13,60267.23380473784,48213787.04379027,1480650703631.3743,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,6.704,9417,13,1,1,8505,13,60120.51905981893,48096415.24785514,1477046202867.3088,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
13,6.384,9513,13,2,2,7223,13,60426.302475411634,48341041.980329305,1484558716730.5308,2466423.586299508,1973138869.0396063,60595311713481.91,368.26683467442604,18413.341733721303,998498440.8603317
13,7.451,9467,13,2,2,1389,13,60279.97473949909,48223979.79159927,1480963724037.7908,2466423.586299508,1973138869.0396063,60595311713481.91,368.26683467442604,18413.341733721303,998498440.8603317
13,4.951,9437,13,1,1,50,13,60184.352008806585,48147481.60704527,1478614456375.337,2466423.586299508,1973138869.0396063,60595311713481.91,535.2056336348548,26760.28168174274,1451127118.7276955
14,12.932,15861,14,1,1,10774,14,80977.92185149503,65187227.090453506,2147652148422.0984,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,8.243,15549,14,2,2,764,14,80177.2858084964,64542715.0758396,2126418117237.6042,2756563.3810530473,2219033521.747703,73108066152119.48,504.81125938588195,25240.562969294097,1473946905.5323794
14,12.44,15765,14,1,1,15166,14,80732.41774737342,64989596.2866356,2141141022863.3298,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,8.759,15625,14,3,3,7251,14,80373.04709133551,64700302.90852509,2131609990899.6414,2756563.3810530473,2219033521.747703,73108066152119.48,410.0058473741502,20500.292368707513,1197134253.151349
14,11.473,15609,14,2,2,2423,14,80331.87382255682,64667158.427158244,2130518015986.871,2756563.3810530473,2219033521.747703,73108066152119.48,504.81125938588195,25240.562969294097,1473946905.5323794
14,8.063,15893,14,2,2,5822,14,81059.59136546156,65252971.049196556,2149818142598.2944,2756563.3810530473,2219033521.747703,73108066152119.48,504.81125938588195,25240.562969294097,1473946905.5323794
14,4.987,15899,14,1,1,14739,14,81074.89524313118,65265290.6707206,2150224023670.6272,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,11.479,15659,14,1,1,14129,14,80460.47035117084,64770678.63269252,2133928582776.4707,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,11.175,15847,14,1,1,2867,14,80942.16553449366,65158443.2552674,2146703838941.2935,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,9.937,15877,14,1,1,6356,14,81018.7668962444,65220107.351476744,2148735418356.7017,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,8.894,15871,14,1,1,9518,14,81003.4524173295,65207779.195950255,2148329256123.941,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,5.432,15739,14,1,1,5003,14,80665.7985047108,64935967.796292186,2139374183750.1577,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,9.509,15843,14,1,1,3491,14,80931.94654318318,65150216.96726246,2146432816443.5452,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,6.429,15839,14,2,2,12067,14,80921.72626176054,65141989.64071724,2146161759730.148,2756563.3810530473,2219033521.747703,73108066152119.48,504.81125938588195,25240.562969294097,1473946905.5323794
14,11.336,15865,14,2,2,6060,14,80988.13504334039,65195448.70988901,2147923017109.605,2756563.3810530473,2219033521.747703,73108066152119.48,504.81125938588195,25240.562969294097,1473946905.5323794
14,4.147,15815,14,1,1,326,14,80860.37745347654,65092603.85004862,2144534700194.6377,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,3.908,15851,14,1,1,14507,14,80952.38323618018,65166668.50512504,2146974827236.3403,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,3.773,15817,14,1,1,6830,14,80865.49163132359,65096720.76321549,2144670335622.0417,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,2.345,15807,14,2,2,8467,14,80839.91750762488,65076133.593638025,2143992072702.3503,2756563.3810530473,2219033521.747703,73108066152119.48,504.81125938588195,25240.562969294097,1473946905.5323794
14,4.059,16003,14,2,2,205,14,81339.70508372814,65478462.592401154,2157247165411.957,2756563.3810530473,2219033521.747703,73108066152119.48,504.81125938588195,25240.562969294097,1473946905.5323794
14,4.11,15777,14,1,1,181,14,80763.14656119999,65014332.98176599,2141955995654.977,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,3.821,15899,14,1,1,7198,14,81074.89524313118,65265290.6707206,2150224023670.6272,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,3.615,15881,14,4,4,5290,14,81028.97494129019,65228324.8277386,2149006150543.6055,2756563.3810530473,2219033521.747703,73108066152119.48,354.5764350063729,17728.821750318646,1035291565.7787375
14,3.277,15947,14,2,2,9795,14,81197.22245405073,65363764.07551084,2153468319045.6511,2756563.3810530473,2219033521.747703,73108066152119.48,504.81125938588195,25240.562969294097,1473946905.5323794
14,4.024,15875,14,1,1,10083,14,81013.66239151302,65215998.22516798,2148600039474.3801,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,4.31,15937,14,1,1,2010,14,81171.75281654438,65343261.01731823,2152792827251.5994,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,4.026,15855,14,1,1,10307,14,80962.59964873118,65174892.7172286,2147245781341.6404,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,3.819,15829,14,1,1,15327,14,80896.16991075473,65121416.77815756,2145483968168.0957,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,3.809,15907,14,1,1,14487,14,81095.29592208209,65281713.21727608,2150765079318.5918,2756563.3810530473,2219033521.747703,73108066152119.48,736.4834675830049,36824.17337915024,2150382955.6819224
14,1.25,15949,14,4,4,3923,14,81202.3154231773,65367863.91565772,2153603391986.9717,2756563.3810530473,2219033521.747703,73108066152119.48,354.5764350063729,17728.821750318646,1035291565.7787375
15,6.724,26167,15,1,1,14695,15,107668.92601003434,87534836.84615792,3066998562095.0146,4335150.934682856,3524477709.897162,123488755538418.31,1018.9831563404214,50949.15781702107,3187784868.3290615
15,6.281,26133,15,2,2,13398,15,107598.93875210849,87477937.2054642,3065004943068.82,4335150.934682856,3524477709.897162,123488755538418.31,695.9487945820046,34797.439729100224,2177204817.072754
15,6.767,26009,15,1,1,5625,15,107343.30450710247,87270106.56427431,3057723084774.9736,4335150.934682856,3524477709.897162,123488755538418.31,1018.9831563404214,50949.15781702107,3187784868.3290615
15,5.995,26561,15,1,1,23931,15,108476.66209988523,88191526.2872067,3090007293749.8105,4335150.934682856,3524477709.897162,123488755538418.31,1018.9831563404214,50949.15781702107,3187784868.3290615
15,4.502,26187,15,1,1,4045,15,107710.07374673837,87568289.9560983,3068170674179.545,4335150.934682856,3524477709.897162,123488755538418.31,1018.9831563404214,50949.15781702107,3187784868.3290615
15,7.507,26677,15,4,4,5606,15,108713.3294054578,88383936.8066372,3096748870106.004,4335150.934682856,3524477709.897162,123488755538418.31,486.687823275769,24334.391163788452,1522553212.9602692
15,5.266,26435,15,1,1,6703,15,108219.00614096917,87982051.99260794,3082667846011.313,4335150.934682856,3524477709.897162,123488755538418.31,1018.9831563404214,50949.15781702107,3187784868.3290615
15,6.888,26485,15,1,1,14512,15,108321.32389998688,88065236.33068933,3085582414136.1484,4335150.934682856,3524477709.897162,123488755538418.31,1018.9831563404214,50949.15781702107,3187784868.3290615
15,7.411,26367,15,2,2,294,15,108079.6985761474,87868794.94240785,3078699606363.808,4335150.934682856,3524477709.897162,123488755538418.31,695.9487945820046,34797.439729100224,2177204817.072754
15,6.134,26421,15,1,1,3513,15,108190.33983203261,87958746.28344251,3081851273100.752,4335150.934682856,3524477709.897162,123488755538418.31,1018.9831563404214,50949.15781702107,3187784868.3290615
15,5.815,26279,15,1,1,2292,15,107899.15126793808,87722009.98083366,3073556633779.3457,4335150.934682856,3524477709.897162,123488755538418.31,1018.9831563404214,50949.15781702107,3187784868.3290615
15,5.475,26265,15,1,1,2387,15,107870.39997646326,87698635.18086463,3072737640102.345,4335150.934682856,3524477709.897162,123488755538418.31,1018.9831563404214,50949.15781702107,3187784868.3290615
15,5.793,26283,15,1,1,10385,15,107907.36451589353,87728687.35142143,3073790591900.811,4335150.934682856,3524477709.897162,123488755538418.31,1018.9831563404214,50949.15781702107,3187784868.3290615
