n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
12,0.121,2533,12,3,3,520,12,29945.881171364967,23447624.957178768,156183432004.52094,1083752.377338422,848578111.4559845,5652335450313.219,220.8723312005291,10160.127235224338,111695358.76043876
12,0.126,2773,12,1,1,771,12,31333.508891940157,24534137.46238914,163420636296.6184,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.142,2777,12,2,2,629,12,31356.116145574226,24551838.94198462,163538544947.91373,1083752.377338422,848578111.4559845,5652335450313.219,270.32565698837067,12434.98022146505,136703955.06467605
12,0.109,2413,12,1,1,503,12,29227.392015320554,22885047.947995994,152436135285.92072,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.103,2425,12,1,1,793,12,29300.033158445178,22941925.963062573,152814996838.63348,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.146,2403,12,1,1,2249,12,29166.71963863546,22837541.477051564,152119697109.85492,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.118,2635,12,1,1,397,12,30543.32106477386,23915420.393717933,159299393509.71255,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.107,2421,12,1,1,500,12,29275.83945524398,22922982.293456037,152688814023.13245,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.115,2539,12,3,3,386,12,29981.3539997792,23475400.181827113,156368441356.99042,1083752.377338422,848578111.4559845,5652335450313.219,220.8723312005291,10160.127235224338,111695358.76043876
12,0.104,2305,12,4,4,930,12,28565.3169843524,22366643.19874793,148983067734.1806,1083752.377338422,848578111.4559845,5652335450313.219,193.93235222394148,8920.888202301308,98071784.45199943
12,0.113,2419,12,1,1,738,12,29263.735108758756,22913504.590158105,152625683525.6388,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.133,2759,12,3,3,942,12,31254.254822561023,24472081.526065283,163007284874.92792,1083752.377338422,848578111.4559845,5652335450313.219,220.8723312005291,10160.127235224338,111695358.76043876
12,0.138,2627,12,1,1,2577,12,30496.885698681872,23879061.502067905,159057208789.84637,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.167,2881,12,1,1,160,12,31938.29244793516,25007682.98673323,166574898842.93213,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.125,2835,12,2,2,2368,12,31682.109884537702,24807092.039593022,165238772791.33374,1083752.377338422,848578111.4559845,5652335450313.219,270.32565698837067,12434.98022146505,136703955.06467605
12,0.118,2677,12,1,1,604,12,30785.958525071066,24105405.525130644,160564874764.55423,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.125,2763,12,1,1,1240,12,31276.919319744782,24489827.827360164,163125492081.27325,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.113,2671,12,1,1,1851,12,30751.413156368668,24078356.501436666,160384702599.5434,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.143,2821,12,1,1,2664,12,31603.72939359534,24745720.11518515,164829977538.07254,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.131,2715,12,2,2,136,12,31003.852679205917,24276016.647818234,161701306737.01007,1083752.377338422,848578111.4559845,5652335450313.219,270.32565698837067,12434.98022146505,136703955.06467605
12,0.185,2803,12,1,1,479,12,31502.668133977535,24666589.14890441,164302890214.12692,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.118,2445,12,1,1,2165,12,29420.70347878903,23036410.82389181,153444355669.8042,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.115,2389,12,1,1,1094,12,29081.56582612491,22770866.041855805,151675575442.16846,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.114,2773,12,1,1,315,12,31333.508891940157,24534137.46238914,163420636296.6184,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.13,2591,12,2,2,1685,12,30287.046212049343,23714757.184034634,157962786121.00623,1083752.377338422,848578111.4559845,5652335450313.219,270.32565698837067,12434.98022146505,136703955.06467605
12,0.113,2595,12,1,1,546,12,30310.433395573335,23733069.34873392,158084762514.5808,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.14,2741,12,1,1,2627,12,31152.060679867125,24392063.51233596,162474288973.2426,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.115,2299,12,1,1,707,12,28528.08487811171,22337490.459561467,148788882827.7438,1083752.377338422,848578111.4559845,5652335450313.219,391.3658604966136,18002.829582844224,197914107.018998
12,0.119,2799,12,2,2,268,12,31480.166048931827,24648970.01631362,164185530072.02307,1083752.377338422,848578111.4559845,5652335450313.219,270.32565698837067,12434.98022146505,136703955.06467605
12,0.158,2537,12,3,3,231,12,29969.534385251773,23466145.42365214,156306795885.57147,1083752.377338422,848578111.4559845,5652335450313.219,220.8723312005291,10160.127235224338,111695358.76043876
15,0.905,7127,15,2,2,1296,15,56180.058763858506,44719326.77603137,377891345031.09827,2153772.9389938936,1714403259.4391394,14487207217582.574,695.9487945820046,32013.64455077221,439909233.0552851
15,1.199,8643,15,2,2,604,15,61869.60095568514,49248202.36072537,416161663695.55115,3057270.3852019263,2433587226.6207333,20564521351674.562,695.9487945820046,32013.64455077221,439909233.0552851
15,1.021,8071,15,2,2,4118,15,59786.501499450686,47590055.193562746,402149836853.95306,2153772.9389938936,1714403259.4391394,14487207217582.574,695.9487945820046,32013.64455077221,439909233.0552851
15,1.269,8857,15,1,1,5309,15,62631.14224592836,49854389.227758974,421284119399.5644,3057270.3852019263,2433587226.6207333,20564521351674.562,1018.9831563404214,46873.22519165938,644099253.1227803
15,0.95,7855,15,3,3,4424,15,58980.7503637057,46948677.289509736,396730006630.44165,2153772.9389938936,1714403259.4391394,14487207217582.574,563.6848043032306,25929.50099794861,356305164.8000721
15,0.876,7467,15,1,1,3766,15,57505.04606706848,45774016.669386506,386803782027.00354,2153772.9389938936,1714403259.4391394,14487207217582.574,1018.9831563404214,46873.22519165938,644099253.1227803
15,1.14,8897,15,2,2,181,15,62772.46196113196,49966879.721061036,422234696854.14075,3057270.3852019263,2433587226.6207333,20564521351674.562,695.9487945820046,32013.64455077221,439909233.0552851
15,1.132,8649,15,2,2,687,15,61891.080211293745,49265299.84818982,416306142447.813,3057270.3852019263,2433587226.6207333,20564521351674.562,695.9487945820046,32013.64455077221,439909233.0552851
