n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
10,0.008,859,10,0,0,0,0,15908.759747698992,11995204.84976504,19486735267.51498,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.011,829,10,0,0,0,0,15628.093172329223,11783582.251936235,19142945095.3451,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.008,853,10,0,0,0,0,15853.023381958956,11953179.629997052,19418463458.701817,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.008,853,10,0,0,0,0,15853.023381958956,11953179.629997052,19418463458.701817,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.008,815,10,0,0,0,0,15495.37836061413,11683515.283903053,18980381926.186413,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.009,881,10,0,0,0,0,16111.47921427941,12148055.327566676,19735047558.446136,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.01,877,10,0,0,0,0,16074.811011441425,12120407.502626834,19690132456.78067,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.009,881,10,0,0,0,0,16111.47921427941,12148055.327566676,19735047558.446136,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.011,871,10,0,0,0,0,16019.651561577664,12078817.277429558,19622567315.685852,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.01,909,10,0,0,0,0,16365.859649393587,12339858.175642764,20046639679.7001,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.008,877,10,0,0,0,0,16074.811011441425,12120407.502626834,19690132456.78067,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.009,883,10,0,0,0,0,16129.782100739769,12161855.703957785,19757466873.88875,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.012,909,10,0,0,0,0,16365.859649393587,12339858.175642764,20046639679.7001,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.015,833,10,0,0,0,0,15665.805488145352,11812017.338061595,19189139137.26217,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.01,869,10,0,0,0,0,16001.222884378065,12064922.054821061,19599993918.412,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.012,863,10,0,0,0,0,15945.809248479714,12023140.173353706,19532117423.318295,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.01,889,10,0,0,0,0,16184.566746056405,12203163.32652653,19824572914.644966,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.008,857,10,0,0,0,0,15890.202650014764,11981212.798111131,19464004567.218983,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.008,903,10,0,0,0,0,16311.68305090817,12299009.02038476,19980278439.155724,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.01,857,10,0,0,0,0,15890.202650014764,11981212.798111131,19464004567.218983,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.01,853,10,0,0,0,0,15853.023381958956,11953179.629997052,19418463458.701817,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.008,845,10,0,0,0,0,15778.402409680244,11896915.416898904,19327059782.031788,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.012,883,10,0,0,0,0,16129.782100739769,12161855.703957785,19757466873.88875,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.008,895,10,0,0,0,0,16239.166831691518,12244331.791095404,19891452887.13993,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.008,875,10,0,0,0,0,16056.445552696168,12106559.94673291,19667636496.170853,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.011,881,10,0,0,0,0,16111.47921427941,12148055.327566676,19735047558.446136,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.009,913,10,0,0,0,0,16401.878104979987,12367016.09115491,20090758902.058617,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.01,833,10,0,0,0,0,15665.805488145352,11812017.338061595,19189139137.26217,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.011,895,10,0,0,0,0,16239.166831691518,12244331.791095404,19891452887.13993,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
10,0.008,849,10,0,0,0,0,15815.756841008,11925080.658120032,19372815449.091747,404755.68001296,305185782.72977185,495787660981.9548,2060.7999999999997,74188.79999999999,164769203.2
11,0.015,1349,11,0,0,0,0,20916.51576609392,15791969.40340091,29236080828.57354,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.016,1429,11,0,0,0,0,21528.452942874756,16253981.971870441,30091416629.356133,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.013,1325,11,0,0,0,0,20729.41623255857,15650709.255581722,28974562268.474976,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.013,1275,11,0,0,0,0,20334.103240523422,15352247.946595183,28422013138.544853,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.015,1283,11,0,0,0,0,20397.867579228205,15400390.022317294,28511139806.733803,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.014,1353,11,0,0,0,0,20947.536728706247,15815390.230173217,29279440410.085884,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.015,1321,11,0,0,0,0,20698.068730107476,15627041.891231144,28930746265.576454,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.016,1461,11,0,0,0,0,21768.41678095127,16435154.669618208,30426826323.991417,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.015,1355,11,0,0,0,0,20963.030014649707,15827087.661060529,29301096166.00664,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.016,1363,11,0,0,0,0,21024.88911313492,15873791.280416865,29387559782.773445,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.018,1421,11,0,0,0,0,21468.04333451263,16208372.717557035,30006979038.858364,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.014,1361,11,0,0,0,0,21009.441394975096,15862128.253206197,29365967719.267834,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.019,1389,11,0,0,0,0,21224.6874561379,16024639.029384116,29666828116.504208,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.017,1385,11,0,0,0,0,21194.071712708108,16001524.143094622,29624034930.50947,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.013,1371,11,0,0,0,0,21086.566941599453,15920358.040907586,29473770029.187576,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.016,1385,11,0,0,0,0,21194.071712708108,16001524.143094622,29624034930.50947,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.015,1287,11,0,0,0,0,20429.675200567195,15424404.776428232,28555598941.267998,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.018,1215,11,0,0,0,0,19849.35013209286,14966409.999598015,27744429147.132793,667488.0860602041,503286016.88939387,932981472290.6503,2914.411309338474,104918.80713618506,256377848.4711962
11,0.015,1359,11,0,0,0,0,20993.982322571926,15850456.653541805,29344359785.35723,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.016,1373,11,0,0,0,0,21101.95826144114,15931978.487388061,29495283261.887615,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
11,0.014,1341,11,0,0,0,0,20854.335562170043,15745023.349438382,29149168386.358738,667488.0860602041,503953504.9754541,932982139778.7363,2914.411309338474,104918.80713618506,256377848.4711962
