n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
11,0.018,1195,11,1,1,722,11,19685.116320817666,15078799.101746332,47935108642.125175,667488.0860602041,511295873.92211634,1625396233436.6865,288.1409568328545,10949.356359648471,58772975.388067834
11,0.013,807,11,2,2,183,11,16172.712465871842,12388297.748857832,39382075089.36973,467060.8670949125,357768624.194703,1137337115097.619,202.2898526451104,7687.014400514195,41261668.1135811
11,0.016,1025,11,1,1,245,11,18229.56191949975,13963844.430336807,44390696852.80232,667488.0860602041,511295873.92211634,1625396233436.6865,288.1409568328545,10949.356359648471,58772975.388067834
11,0.02,1267,11,1,1,1094,11,20270.13854489454,15547196.263934113,49359713019.97997,667488.0860602041,511963362.0081765,1625396900924.7727,288.1409568328545,10949.356359648471,58772975.388067834
11,0.016,925,11,1,1,428,11,17316.370298171452,13264339.648399333,42166989414.855515,467060.8670949125,357768624.194703,1137337115097.619,288.1409568328545,10949.356359648471,58772975.388067834
11,0.018,1223,11,2,2,317,11,19914.664861150035,15254633.283640927,48494080915.397285,667488.0860602041,511295873.92211634,1625396233436.6865,202.2898526451104,7687.014400514195,41261668.1135811
11,0.013,905,11,2,2,341,11,17127.89827033842,13119970.07507923,41708042310.711464,467060.8670949125,357768624.194703,1137337115097.619,202.2898526451104,7687.014400514195,41261668.1135811
11,0.017,1171,11,1,1,907,11,19486.210847334245,14926437.509058032,47450755117.07854,667488.0860602041,511295873.92211634,1625396233436.6865,288.1409568328545,10949.356359648471,58772975.388067834
11,0.011,709,11,1,1,214,11,15157.543240440878,11610678.122177713,36910042599.53814,467060.8670949125,357768624.194703,1137337115097.619,288.1409568328545,10949.356359648471,58772975.388067834
11,0.013,847,11,3,3,162,11,16569.227216152187,12692028.047572576,40347625778.688896,467060.8670949125,357768624.194703,1137337115097.619,163.57640052388575,6215.903219907658,33365169.144058548
11,0.018,1089,11,1,1,755,11,18790.757183761383,14393720.002761219,45757260073.63424,667488.0860602041,511295873.92211634,1625396233436.6865,288.1409568328545,10949.356359648471,58772975.388067834
11,0.014,957,11,1,1,428,11,17613.736764755828,13492122.361802964,42891104713.436325,467060.8670949125,357768624.194703,1137337115097.619,288.1409568328545,10949.356359648471,58772975.388067834
11,0.014,851,11,1,1,826,11,16608.35875880092,12722002.809241505,40442914763.40357,467060.8670949125,357768624.194703,1137337115097.619,288.1409568328545,10949.356359648471,58772975.388067834
11,0.014,907,11,2,2,749,11,17146.838571322067,13134478.345632704,41754163723.994934,467060.8670949125,357768624.194703,1137337115097.619,202.2898526451104,7687.014400514195,41261668.1135811
11,0.013,779,11,2,2,645,11,15889.274227040562,12171184.05791307,38691876334.62111,467060.8670949125,357768624.194703,1137337115097.619,202.2898526451104,7687.014400514195,41261668.1135811
