n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
15,93.056,29893,15,0,0,0,0,115081.1307713292,94481608.36326128,6983183893122.435,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,91.625,29713,15,0,0,0,0,114734.05930398362,94196662.68857056,6962123412883.098,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,88.112,30091,15,0,0,0,0,115461.7046461177,94794059.51446262,7006277317168.18,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,85.341,29785,15,0,0,0,0,114873.01370068551,94310744.24826281,6970555239181.845,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,77.177,29947,15,0,0,0,0,115185.04832467565,94566924.67455871,6989489665231.882,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,77.421,29893,15,0,0,0,0,115081.1307713292,94481608.36326128,6983183893122.435,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,73.171,30309,15,0,0,0,0,115879.27497744924,95136884.75648582,7031615705768.083,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,70.391,29855,15,0,0,0,0,115007.94732897419,94421524.75708781,6978743083126.291,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,70.469,30019,15,0,0,0,0,115323.45942980191,94680560.19186737,6997888524310.418,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,70.998,30387,15,0,0,0,0,116028.31591028698,95259247.3623456,7040659588415.331,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,67.294,29951,15,0,0,0,0,115192.74219270013,94573241.3402068,6989956533213.664,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,70.005,30327,15,0,0,0,0,115913.68604458563,95165136.2426048,7033703787525.374,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,68.412,30115,15,0,0,0,0,115507.74962365808,94831862.44102328,7009071350763.123,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,68.179,29939,15,0,0,0,0,115169.65904697678,94554290.07756793,6988555835720.1875,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,68.464,29953,15,0,0,0,0,115196.58893405096,94576399.51485583,6990189955513.759,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,68.775,30075,15,0,0,0,0,115430.99779247775,94768849.18762423,7004414009045.382,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,68.455,30309,15,0,0,0,0,115879.27497744924,95136884.75648582,7031615705768.083,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,66.858,29901,15,0,0,0,0,115096.53188356462,94494252.67640655,6984118440760.067,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,67.995,30093,15,0,0,0,0,115465.54242875325,94797210.33400641,7006510195848.692,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,68.247,30203,15,0,0,0,0,115676.42443136894,94970344.4581539,7019306627323.991,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,67.841,30023,15,0,0,0,0,115331.14406610979,94686869.27827613,6998354832106.753,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,67.712,30111,15,0,0,0,0,115500.07673521547,94825562.9996119,7008605755833.468,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,66.252,29607,15,0,0,0,0,114529.18081250042,94028457.44706285,6949691277639.175,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,67.806,30141,15,0,0,0,0,115557.61098265873,94872798.61676282,7012096964403.941,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
15,67.184,30111,15,0,0,0,0,115500.07673521547,94825562.9996119,7008605755833.468,4335150.934682856,3559158917.374625,263059252011400.16,11657.645237353896,606197.5523424026,79909264448.55168
