n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
10,0.011,841,10,1,1,323,10,15740.959463177991,11868683.435236204,19281195692.2035,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.008,889,10,2,2,256,10,16184.566746056405,12203163.32652653,19824572914.644966,404755.68001296,305185782.72977185,495787660981.9548,150.9692952005997,5434.894627221589,12070599.028468749
10,0.011,853,10,1,1,751,10,15853.023381958956,11953179.629997052,19418463458.701817,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.01,901,10,5,5,21,10,16293.584210418001,12285362.494655173,19958109060.84627,404755.68001296,305185782.72977185,495787660981.9548,96.39500722500266,3470.220260100096,7707166.407667862
10,0.008,771,10,1,1,560,10,15070.679645068383,11363292.45238156,18460165921.322132,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.008,863,10,1,1,420,10,15945.809248479714,12023140.173353706,19532117423.318295,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.008,877,10,1,1,468,10,16074.811011441425,12120407.502626834,19690132456.78067,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.008,863,10,1,1,523,10,15945.809248479714,12023140.173353706,19532117423.318295,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.011,867,10,1,1,616,10,15982.772988839402,12051010.83358491,19577394530.667316,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.008,873,10,2,2,646,10,16038.059093476857,12092696.55648155,19645114811.954365,404755.68001296,305185782.72977185,495787660981.9548,150.9692952005997,5434.894627221589,12070599.028468749
10,0.009,857,10,1,1,752,10,15890.202650014764,11981212.798111131,19464004567.218983,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.01,883,10,2,2,120,10,16129.782100739769,12161855.703957785,19757466873.88875,404755.68001296,305185782.72977185,495787660981.9548,150.9692952005997,5434.894627221589,12070599.028468749
10,0.008,885,10,1,1,206,10,16148.064271467842,12175640.460686753,19779860814.506588,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.013,907,10,3,3,30,10,16347.82070421506,12326256.810978156,20024543667.517254,404755.68001296,305185782.72977185,495787660981.9548,124.22161529271375,4471.978150537695,9932015.029113635
10,0.009,879,10,1,1,281,10,16093.155541507096,12134239.27829635,19712602781.725292,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.008,859,10,1,1,124,10,15908.759747698992,11995204.84976504,19486735267.51498,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.01,871,10,1,1,298,10,16019.651561577664,12078817.277429558,19622567315.685852,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.01,931,10,3,3,394,10,16562.993231191598,12488496.896318465,20288109786.845974,404755.68001296,305185782.72977185,495787660981.9548,124.22161529271375,4471.978150537695,9932015.029113635
10,0.008,865,10,1,1,497,10,15964.3018015016,12037083.558332207,19554769062.47012,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.008,873,10,1,1,796,10,16038.059093476857,12092696.55648155,19645114811.954365,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.008,909,10,2,2,79,10,16365.859649393587,12339858.175642764,20046639679.7001,404755.68001296,305185782.72977185,495787660981.9548,150.9692952005997,5434.894627221589,12070599.028468749
10,0.009,889,10,1,1,494,10,16184.566746056405,12203163.32652653,19824572914.644966,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.008,877,10,3,3,177,10,16074.811011441425,12120407.502626834,19690132456.78067,404755.68001296,305185782.72977185,495787660981.9548,124.22161529271375,4471.978150537695,9932015.029113635
10,0.009,825,10,1,1,647,10,15590.289766509833,11755078.483948415,19096639476.736496,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.011,897,10,2,2,154,10,16257.326168100335,12258023.930747652,19913696367.263107,404755.68001296,305185782.72977185,495787660981.9548,150.9692952005997,5434.894627221589,12070599.028468749
10,0.008,821,10,3,3,230,10,15552.394607427175,11726505.53400009,19050221469.00519,404755.68001296,305185782.72977185,495787660981.9548,124.22161529271375,4471.978150537695,9932015.029113635
10,0.01,885,10,4,4,386,10,16148.064271467842,12175640.460686753,19779860814.506588,404755.68001296,305185782.72977185,495787660981.9548,107.95606685338727,3886.4184067219417,8631519.369195726
10,0.008,873,10,1,1,557,10,16038.059093476857,12092696.55648155,19645114811.954365,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
10,0.01,841,10,2,2,352,10,15740.959463177991,11868683.435236204,19281195692.2035,404755.68001296,305185782.72977185,495787660981.9548,150.9692952005997,5434.894627221589,12070599.028468749
10,0.01,859,10,1,1,797,10,15908.759747698992,11995204.84976504,19486735267.51498,404755.68001296,305185782.72977185,495787660981.9548,216.67124862880527,7800.1649506369895,17323733.012867495
11,0.016,1425,11,1,1,1342,11,21498.26933471681,16231193.34771119,30049227460.869755,667488.0860602041,503953504.9754541,932982139778.7363,288.1409568328545,10373.074445982762,25347471.831629377
11,0.014,1371,11,1,1,1133,11,21086.566941599453,15920358.040907586,29473770029.187576,667488.0860602041,503953504.9754541,932982139778.7363,288.1409568328545,10373.074445982762,25347471.831629377
11,0.017,1437,11,3,3,193,11,21588.69369327611,16299463.738423463,30175618198.470375,667488.0860602041,503953504.9754541,932982139778.7363,163.57640052388575,5888.750418859887,14389652.377685705
11,0.016,1327,11,1,1,1216,11,20745.07224022301,15662529.541368373,28996445468.843952,667488.0860602041,503953504.9754541,932982139778.7363,288.1409568328545,10373.074445982762,25347471.831629377
11,0.013,1251,11,2,2,161,11,20141.60045019971,15206908.33990078,28152942170.867092,667488.0860602041,503953504.9754541,932982139778.7363,202.2898526451104,7282.434695223974,17795236.047337715
11,0.017,1413,11,1,1,972,11,21407.46344022582,16162634.897370493,29922303431.03908,667488.0860602041,503953504.9754541,932982139778.7363,288.1409568328545,10373.074445982762,25347471.831629377
11,0.014,1379,11,1,1,1156,11,21148.065084329453,15966789.138668736,29559729119.686577,667488.0860602041,503953504.9754541,932982139778.7363,288.1409568328545,10373.074445982762,25347471.831629377
11,0.014,1373,11,1,1,1154,11,21101.95826144114,15931978.487388061,29495283261.887615,667488.0860602041,503953504.9754541,932982139778.7363,288.1409568328545,10373.074445982762,25347471.831629377
11,0.013,1423,11,2,2,533,11,21483.161644785945,16219787.041813388,30028110672.161198,667488.0860602041,503953504.9754541,932982139778.7363,202.2898526451104,7282.434695223974,17795236.047337715
11,0.016,1405,11,1,1,612,11,21346.711811809942,16116767.417916507,29837387781.66916,667488.0860602041,503953504.9754541,932982139778.7363,288.1409568328545,10373.074445982762,25347471.831629377
11,0.016,1443,11,2,2,15,11,21633.764290846266,16333492.03958893,30238615671.29466,667488.0860602041,503953504.9754541,932982139778.7363,202.2898526451104,7282.434695223974,17795236.047337715
11,0.014,1411,11,1,1,21,11,21392.29169021739,16151180.22611413,29901097102.293045,667488.0860602041,503953504.9754541,932982139778.7363,288.1409568328545,10373.074445982762,25347471.831629377
11,0.013,1345,11,1,1,872,11,20885.448779069502,15768513.828197474,29192656916.393177,667488.0860602041,503953504.9754541,932982139778.7363,288.1409568328545,10373.074445982762,25347471.831629377
11,0.015,1299,11,1,1,1214,11,20524.802641023776,15496225.993972952,28688563416.293625,667488.0860602041,503953504.9754541,932982139778.7363,288.1409568328545,10373.074445982762,25347471.831629377
11,0.014,1443,11,2,2,462,11,21633.764290846266,16333492.03958893,30238615671.29466,667488.0860602041,503953504.9754541,932982139778.7363,202.2898526451104,7282.434695223974,17795236.047337715
11,0.026,1439,11,1,1,1409,11,21603.727662264395,16310814.385009618,30196631943.65772,667488.0860602041,503953504.9754541,932982139778.7363,288.1409568328545,10373.074445982762,25347471.831629377
