n,time (classical),T,depth,M tree,M total,T (first solution),depth (first solution),queries (detect),T-depth (detect),T-count (detect),queries (search),T-depth (search),T-count (search),queries (Grover),T-depth (Grover),T-count (Grover)
15,55.575,21023,15,1,1,9035,15,96505.05564685639,79230650.6860691,5855977827825.683,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,59.029,21933,15,1,1,19055,15,98572.07571462967,80927674.16171096,5981405698991.781,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,55.309,20883,15,1,1,6110,15,96183.11087023672,78966334.02446435,5836442048471.614,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,57.979,22709,15,1,1,20304,15,100301.08434941749,82347190.25087176,6086322857596.274,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,58.938,23715,15,3,3,5557,15,102499.16216201002,84151812.13501023,6219703382047.552,4335150.934682856,3559158917.374625,263059252011400.16,563.6848043032306,29311.609823767994,3863871062.7740088
15,57.295,23413,15,1,1,17554,15,101844.28396160589,83614157.13247843,6179965026416.461,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,49.05,21009,15,2,2,10689,15,96472.90950472435,79204258.70337869,5854027182915.802,4335150.934682856,3559158917.374625,263059252011400.16,695.9487945820046,36189.33731826424,4770496539.962251
15,52.048,23145,15,1,1,13367,15,101259.5877238706,83134121.52129777,6144485349406.374,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
15,48.952,21891,15,2,2,5406,15,98477.62958031101,80850133.88543534,5975674657599.32,4335150.934682856,3559158917.374625,263059252011400.16,695.9487945820046,36189.33731826424,4770496539.962251
15,47.161,20411,15,1,1,4937,15,95089.66709107027,78068616.68176869,5770091301520.035,4335150.934682856,3559158917.374625,263059252011400.16,1018.9831563404214,52987.124129701915,6984789196.339371
